2025-11-14 07:24:14,418 - INFO - [no-full-stop] Segment 40 (2-filtered-properties): total = 631, inaccuracies = 627 (99.37%)
2025-11-14 07:24:14,422 - INFO - [no-full-stop] Segment 41 (2-filtered-properties): total = 112, inaccuracies = 111 (99.11%)
2025-11-14 07:24:14,425 - INFO - [no-full-stop] Segment 42 (2-filtered-properties): total = 59, inaccuracies = 59 (100.00%)
2025-11-14 07:24:14,429 - INFO - [no-full-stop] Segment 43 (2-filtered-properties): total = 115, inaccuracies = 115 (100.00%)
2025-11-14 07:24:14,432 - INFO - [no-full-stop] Segment 44 (2-filtered-properties): total = 105, inaccuracies = 105 (100.00%)
2025-11-14 07:24:14,435 - INFO - [no-full-stop] Segment 45 (2-filtered-properties): total = 57, inaccuracies = 56 (98.25%)
2025-11-14 07:24:14,438 - INFO - [no-full-stop] Segment 46 (2-filtered-properties): total = 164, inaccuracies = 161 (98.17%)
2025-11-14 07:24:14,442 - INFO - [no-full-stop] Segment 47 (2-filtered-properties): total = 206, inaccuracies = 204 (99.03%)
2025-11-14 07:24:14,445 - INFO - [no-full-stop] Segment 48 (2-filtered-properties): total = 240, inaccuracies = 236 (98.33%)
2025-11-14 07:24:14,448 - INFO - [no-full-stop] Segment 49 (2-filtered-properties): total = 33, inaccuracies = 33 (100.00%)
2025-11-14 07:24:14,454 - INFO - [no-full-stop] Segment 50 (2-filtered-properties): total = 1088, inaccuracies = 1088 (100.00%)
2025-11-14 07:24:14,459 - INFO - [no-full-stop] Segment 51 (2-filtered-properties): total = 629, inaccuracies = 629 (100.00%)
2025-11-14 07:24:14,462 - INFO - [no-full-stop] Segment 90 (2-filtered-properties): total = 49, inaccuracies = 48 (97.96%)
2025-11-14 07:24:14,541 - INFO - [no-full-stop] Segment combined (2-filtered-properties): total = 26247, inaccuracies = 25941 (98.83%)
2025-11-14 07:24:14,547 - INFO - [no-capital-start] Segment 13 (2-filtered-properties): total = 62, inaccuracies = 24 (38.71%)
2025-11-14 07:24:14,550 - INFO - [no-capital-start] Segment 14 (2-filtered-properties): total = 64, inaccuracies = 24 (37.50%)
2025-11-14 07:24:14,553 - INFO - [no-capital-start] Segment 15 (2-filtered-properties): total = 65, inaccuracies = 21 (32.31%)
2025-11-14 07:24:14,555 - INFO - [no-capital-start] Segment 16 (2-filtered-properties): total = 42, inaccuracies = 21 (50.00%)
2025-11-14 07:24:14,559 - INFO - [no-capital-start] Segment 17 (2-filtered-properties): total = 144, inaccuracies = 100 (69.44%)
2025-11-14 07:24:14,561 - INFO - [no-capital-start] Segment 18 (2-filtered-properties): total = 43, inaccuracies = 22 (51.16%)
2025-11-14 07:24:14,571 - INFO - [no-capital-start] Segment 19 (2-filtered-properties): total = 1859, inaccuracies = 1235 (66.43%)
2025-11-14 07:24:14,575 - INFO - [no-capital-start] Segment 20 (2-filtered-properties): total = 307, inaccuracies = 166 (54.07%)
2025-11-14 07:24:14,589 - INFO - [no-capital-start] Segment 21 (2-filtered-properties): total = 3492, inaccuracies = 2920 (83.62%)
2025-11-14 07:24:14,600 - INFO - [no-capital-start] Segment 22 (2-filtered-properties): total = 2062, inaccuracies = 664 (32.20%)
2025-11-14 07:24:14,607 - INFO - [no-capital-start] Segment 23 (2-filtered-properties): total = 1493, inaccuracies = 745 (49.90%)
2025-11-14 07:24:14,615 - INFO - [no-capital-start] Segment 24 (2-filtered-properties): total = 1904, inaccuracies = 859 (45.12%)
2025-11-14 07:24:14,618 - INFO - [no-capital-start] Segment 25 (2-filtered-properties): total = 156, inaccuracies = 67 (42.95%)
2025-11-14 07:24:14,620 - INFO - [no-capital-start] Segment 26 (2-filtered-properties): total = 80, inaccuracies = 51 (63.75%)
2025-11-14 07:24:14,648 - INFO - [no-capital-start] Segment 27 (2-filtered-properties): total = 8560, inaccuracies = 5231 (61.11%)
2025-11-14 07:24:14,651 - INFO - [no-capital-start] Segment 28 (2-filtered-properties): total = 73, inaccuracies = 45 (61.64%)
2025-11-14 07:24:14,660 - INFO - [no-capital-start] Segment 29 (2-filtered-properties): total = 1871, inaccuracies = 1032 (55.16%)
2025-11-14 07:24:14,663 - INFO - [no-capital-start] Segment 30 (2-filtered-properties): total = 141, inaccuracies = 80 (56.74%)
2025-11-14 07:24:14,665 - INFO - [no-capital-start] Segment 31 (2-filtered-properties): total = 42, inaccuracies = 21 (50.00%)
2025-11-14 07:24:14,670 - INFO - [no-capital-start] Segment 32 (2-filtered-properties): total = 447, inaccuracies = 195 (43.62%)
2025-11-14 07:24:14,672 - INFO - [no-capital-start] Segment 33 (2-filtered-properties): total = 45, inaccuracies = 24 (53.33%)
2025-11-14 07:24:14,683 - INFO - [no-capital-start] Segment 34 (2-filtered-properties): total = 2598, inaccuracies = 1779 (68.48%)
2025-11-14 07:24:14,686 - INFO - [no-capital-start] Segment 35 (2-filtered-properties): total = 275, inaccuracies = 106 (38.55%)
2025-11-14 07:24:14,697 - INFO - [no-capital-start] Segment 36 (2-filtered-properties): total = 3140, inaccuracies = 1496 (47.64%)
2025-11-14 07:24:14,701 - INFO - [no-capital-start] Segment 37 (2-filtered-properties): total = 394, inaccuracies = 216 (54.82%)
2025-11-14 07:24:14,704 - INFO - [no-capital-start] Segment 38 (2-filtered-properties): total = 116, inaccuracies = 45 (38.79%)
2025-11-14 07:24:14,707 - INFO - [no-capital-start] Segment 39 (2-filtered-properties): total = 114, inaccuracies = 46 (40.35%)
2025-11-14 07:24:14,711 - INFO - [no-capital-start] Segment 40 (2-filtered-properties): total = 631, inaccuracies = 485 (76.86%)
2025-11-14 07:24:14,713 - INFO - [no-capital-start] Segment 41 (2-filtered-properties): total = 112, inaccuracies = 57 (50.89%)
2025-11-14 07:24:14,716 - INFO - [no-capital-start] Segment 42 (2-filtered-properties): total = 59, inaccuracies = 27 (45.76%)
2025-11-14 07:24:14,718 - INFO - [no-capital-start] Segment 43 (2-filtered-properties): total = 115, inaccuracies = 58 (50.43%)
2025-11-14 07:24:14,721 - INFO - [no-capital-start] Segment 44 (2-filtered-properties): total = 105, inaccuracies = 61 (58.10%)
2025-11-14 07:24:14,723 - INFO - [no-capital-start] Segment 45 (2-filtered-properties): total = 57, inaccuracies = 32 (56.14%)
2025-11-14 07:24:14,726 - INFO - [no-capital-start] Segment 46 (2-filtered-properties): total = 164, inaccuracies = 99 (60.37%)
2025-11-14 07:24:14,728 - INFO - [no-capital-start] Segment 47 (2-filtered-properties): total = 206, inaccuracies = 134 (65.05%)
2025-11-14 07:24:14,731 - INFO - [no-capital-start] Segment 48 (2-filtered-properties): total = 240, inaccuracies = 108 (45.00%)
2025-11-14 07:24:14,734 - INFO - [no-capital-start] Segment 49 (2-filtered-properties): total = 33, inaccuracies = 13 (39.39%)
2025-11-14 07:24:14,740 - INFO - [no-capital-start] Segment 50 (2-filtered-properties): total = 1088, inaccuracies = 59 (5.42%)
2025-11-14 07:24:14,744 - INFO - [no-capital-start] Segment 51 (2-filtered-properties): total = 629, inaccuracies = 578 (91.89%)
2025-11-14 07:24:14,747 - INFO - [no-capital-start] Segment 90 (2-filtered-properties): total = 49, inaccuracies = 27 (55.10%)
2025-11-14 07:24:14,830 - INFO - [no-capital-start] Segment combined (2-filtered-properties): total = 26247, inaccuracies = 15278 (58.21%)
2025-11-14 07:24:17,020 - INFO - [spelling] Segment 13 (2-filtered-properties): total = 62, inaccuracies = 0 (0.00%)
2025-11-14 07:24:17,837 - INFO - [spelling] Segment 14 (2-filtered-properties): total = 64, inaccuracies = 1 (1.56%)
2025-11-14 07:24:18,879 - INFO - [spelling] Segment 15 (2-filtered-properties): total = 65, inaccuracies = 0 (0.00%)
2025-11-14 07:24:18,887 - INFO - [spelling] Segment 16 (2-filtered-properties): total = 42, inaccuracies = 0 (0.00%)
2025-11-14 07:24:20,503 - INFO - [spelling] Segment 17 (2-filtered-properties): total = 144, inaccuracies = 3 (2.08%)
2025-11-14 07:24:20,510 - INFO - [spelling] Segment 18 (2-filtered-properties): total = 43, inaccuracies = 0 (0.00%)
2025-11-14 07:25:37,587 - INFO - [spelling] Segment 19 (2-filtered-properties): total = 1859, inaccuracies = 61 (3.28%)
2025-11-14 07:26:08,683 - INFO - [spelling] Segment 20 (2-filtered-properties): total = 307, inaccuracies = 6 (1.95%)
2025-11-14 07:27:21,316 - INFO - [spelling] Segment 21 (2-filtered-properties): total = 3492, inaccuracies = 102 (2.92%)
2025-11-14 07:27:50,719 - INFO - [spelling] Segment 22 (2-filtered-properties): total = 2062, inaccuracies = 37 (1.79%)
2025-11-14 07:28:14,826 - INFO - [spelling] Segment 23 (2-filtered-properties): total = 1493, inaccuracies = 34 (2.28%)
2025-11-14 07:28:28,519 - INFO - [spelling] Segment 24 (2-filtered-properties): total = 1904, inaccuracies = 8 (0.42%)
2025-11-14 07:28:29,638 - INFO - [spelling] Segment 25 (2-filtered-properties): total = 156, inaccuracies = 1 (0.64%)
2025-11-14 07:28:32,779 - INFO - [spelling] Segment 26 (2-filtered-properties): total = 80, inaccuracies = 0 (0.00%)
2025-11-14 07:32:01,856 - INFO - [spelling] Segment 27 (2-filtered-properties): total = 8560, inaccuracies = 282 (3.29%)
2025-11-14 07:32:01,878 - INFO - [spelling] Segment 28 (2-filtered-properties): total = 73, inaccuracies = 0 (0.00%)
2025-11-14 07:32:34,864 - INFO - [spelling] Segment 29 (2-filtered-properties): total = 1871, inaccuracies = 42 (2.24%)
2025-11-14 07:32:35,489 - INFO - [spelling] Segment 30 (2-filtered-properties): total = 141, inaccuracies = 3 (2.13%)
2025-11-14 07:32:35,497 - INFO - [spelling] Segment 31 (2-filtered-properties): total = 42, inaccuracies = 0 (0.00%)
2025-11-14 07:32:48,053 - INFO - [spelling] Segment 32 (2-filtered-properties): total = 447, inaccuracies = 11 (2.46%)
2025-11-14 07:32:48,061 - INFO - [spelling] Segment 33 (2-filtered-properties): total = 45, inaccuracies = 0 (0.00%)
2025-11-14 07:34:04,354 - INFO - [spelling] Segment 34 (2-filtered-properties): total = 2598, inaccuracies = 47 (1.81%)
2025-11-14 07:34:05,536 - INFO - [spelling] Segment 35 (2-filtered-properties): total = 275, inaccuracies = 2 (0.73%)
2025-11-14 07:34:20,575 - INFO - [spelling] Segment 36 (2-filtered-properties): total = 3140, inaccuracies = 22 (0.70%)
2025-11-14 07:34:22,739 - INFO - [spelling] Segment 37 (2-filtered-properties): total = 394, inaccuracies = 2 (0.51%)
2025-11-14 07:34:28,117 - INFO - [spelling] Segment 38 (2-filtered-properties): total = 116, inaccuracies = 2 (1.72%)
2025-11-14 07:34:28,143 - INFO - [spelling] Segment 39 (2-filtered-properties): total = 114, inaccuracies = 2 (1.75%)
2025-11-14 07:34:33,861 - INFO - [spelling] Segment 40 (2-filtered-properties): total = 631, inaccuracies = 20 (3.17%)
2025-11-14 07:34:33,884 - INFO - [spelling] Segment 41 (2-filtered-properties): total = 112, inaccuracies = 1 (0.89%)
2025-11-14 07:34:33,901 - INFO - [spelling] Segment 42 (2-filtered-properties): total = 59, inaccuracies = 0 (0.00%)
2025-11-14 07:34:34,875 - INFO - [spelling] Segment 43 (2-filtered-properties): total = 115, inaccuracies = 1 (0.87%)
2025-11-14 07:34:35,382 - INFO - [spelling] Segment 44 (2-filtered-properties): total = 105, inaccuracies = 6 (5.71%)
2025-11-14 07:34:35,400 - INFO - [spelling] Segment 45 (2-filtered-properties): total = 57, inaccuracies = 0 (0.00%)
2025-11-14 07:34:35,427 - INFO - [spelling] Segment 46 (2-filtered-properties): total = 164, inaccuracies = 2 (1.22%)
2025-11-14 07:34:35,459 - INFO - [spelling] Segment 47 (2-filtered-properties): total = 206, inaccuracies = 2 (0.97%)
2025-11-14 07:34:37,708 - INFO - [spelling] Segment 48 (2-filtered-properties): total = 240, inaccuracies = 8 (3.33%)
2025-11-14 07:34:37,715 - INFO - [spelling] Segment 49 (2-filtered-properties): total = 33, inaccuracies = 0 (0.00%)
2025-11-14 07:34:49,435 - INFO - [spelling] Segment 50 (2-filtered-properties): total = 1088, inaccuracies = 22 (2.02%)
2025-11-14 07:34:53,500 - INFO - [spelling] Segment 51 (2-filtered-properties): total = 629, inaccuracies = 8 (1.27%)
2025-11-14 07:34:53,511 - INFO - [spelling] Segment 90 (2-filtered-properties): total = 49, inaccuracies = 0 (0.00%)
2025-11-14 07:34:56,158 - INFO - [spelling] Segment combined (2-filtered-properties): total = 26247, inaccuracies = 630 (2.40%)
2025-11-14 07:34:56,173 - INFO - [duplicate-definition] Segment 13 (3-normalised-properties): total = 62, inaccuracies = 16 (25.81%)
2025-11-14 07:34:56,184 - INFO - [duplicate-definition] Segment 14 (3-normalised-properties): total = 64, inaccuracies = 18 (28.12%)
